   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.95000  0.00000000000E+00   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        2    0.95000  3.96110000000E-05   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        3    0.95000  8.91250000000E-05   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        4    0.95000  1.51017000000E-04   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        5    0.95000  2.28382000000E-04   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        6    0.95000  3.25088000000E-04   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        7    0.95000  4.45968000000E-04   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000000
        8    0.95000  5.97068000000E-04   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000001
        9    0.95000  7.85948000000E-04   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99600  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000001
       10    0.95000  1.02204800000E-03   2.49701   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99601  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000001
